id,especie,nome_comum,grupo,ciclo,altura_min,altura_max,habito,origem,precipitacao_min,precipitacao_max,temp_min,temp_max,tolerancia_seca,tolerancia_encharcamento,tolerancia_frio_geada,tolerancia_sombra,tropical,cerrado,subtropical,subtropical_secundario,temperado,subtropical_quente,subtropical_de_altitude,subtropical_umido,subtropical_frio,quente,chuvoso,semiarido,subtropical_semiarido,tropical_altitude,estacao_fria,quente_umido,tropical_umido,temperado_frio,temperado_medio,regioes_frias,tolerancia_acidez,ph_min,ph_max,tolerancia_aluminio,exigencia_fertilidade,drenagem_solo,textura_solo,controle_plantas_daninhas,controle_plantas_pragas_doencas,profundidade_raiz_min,profundidade_raiz_max,produtividade_minima_ms,produtividade_maxima_ms,proteina_min,proteina_max,digestibilidade,biomassa_min,biomassa_max,tolerancia_pastejo,rebrota,persistencia,pastejo,pastagem,consorcio,cobertura_solo,recuperacao_area_degradadas,sistemas_agroflorestais,fenacao,integracao_lavoura_pecuaria,rotacao_culturas,reforma_canaviais,plantio_direto,ILPF,culturas_perenes,fitorremediacao,alimentacao_animal,silagem,capineiras,quebra_vento,consorcio_milho,adubacao_verde,cobertura_vegetal,controle_erosao,controle_nematoides,consorcio_perenes,recuperacao_solos,forragem,preenchimento_devazio_forrageiro,alimentacao_humana,banco_proteinas,producao_oleo,biomassa,rotacao_milho,consorcio_gramineas,reforma_pastagem,graos,sucessao_culturas,consorcio_forrageiras,controle_ervadaninha,controle de nematoides,diversificacao_biologica,aumento_materia_organica ,forragem_ruminantes,incremento_materia_organica,ciclagem_nutrientes,sucessao_milho,sucessao_soja,sucessao_algodao,sucessao_feijao,algodao,mucuna,guandu,cobertura_permanente,forragem_frescca,feno,melhoria_fertilidade_solo,geracao_palhada,consorcio_leguminosas,rotacao_cultura_solos_pobres_acidos,rotacao_cultura_inverno,melhoria_estrutura_solo,descompactacao_solo,protecao_solo,melhoria_quimica_solo,melhoria_fisica_biologica,conservacao_solo,cobertura_morta_SPD,cobertura_inverno,reciclagem_nutrientes,equilibrio_microbiologico_solo,antecessora_milho,forragem_inverno,rotacao_leguminosas,ciclagem_nutrientes,incorporacao_materia_organica,biodisel,racao_animal,controle_doencas_radiculares,producao_graos_malteacao,cultivo_entrelinhas_frutiferas,planta_cobertura,fornecimento_nitrogenio,triticale,crotalaria,graos_seco_alimentacao_animal,forragem_verde,pastejo_consorciado_gramineas,rotacao_soja,rotacao_feijao,rotacao_algodao,controle_biologico_compactacao_solo,materiaprima_biocombustivel,recuperacao_solos_compactados,recuperacao_solos_baixa_retencaohidrica,consorcio_aveia,consorcio_nabo_forrageiro,consorcio_triticale,fornecimento_p_solo,pastejo_direto,fixacao_biologica_nitrogenio,quebra_ciclo_patogenos_leguminosas,quebra_ciclo_patogenos_hortalica,altenativa_milho_regioes_frias,rotacao_cevada,rotacao_trigo,rotacao_centeio,rotacao_triticale,melhoria_estrutura_areacao_solo,aumento_ciclagem_disponibilidade_ N,corte_verde,forragem_pastejo,uso_desmama,uso_maternidade,pre-secado,producao_sementes,recuperacao_pastagem,farinha,revegetacao_areas_contaminadas,producao_fibras,atracao_polinizadores,controle_biologico,medicina_popular,aumento_proteina_pastagem,pecuaria_leiteira,pecuaria_corte,pastagem_consorciada,pastagens_inverno,ovinos,equinos
26,Guizotia abyssinica,Níger,oleaginosa,anual,0.5,2.0,ereto,Africa,600,1200,15,23,moderada,alta,NA,baixa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moderada,5.0,7.5,moderada,baixa,boa,argiloso/arenoso,moderada,baixa,1.0,1.8,8,NA,15,18,45,50,NA,baixa,nula,baixa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Panicum miliaceum,Painço,graminea,anual,0.5,1.5,ereto,Asia,200,450,25,35,alta,baixa,baixa,baixa,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,moderada,5.0,7.5,baixa ,baixa,boa,arenoso-medio,moderada,baixa,1.0,1.5,8,10,9,13,55,NA,NA,baixa,nula,baixa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Pueraria phaseoloides (Puerária),Puerária,leguminosa,perene,0.3,1,trepador,Asia,1200,NA,20,40,Moderada ,moderada,NA,moderada,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.0,6.5,alta,baixa,NA,arenoso a argiloso,sim,NA,1.5,2.5,4,8,14,18,65,40,NA,media,alta,alta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Glycine max,Soja,leguminosa,anual,0.5,1.5,ereto,Asia,200,450,25,35,Alta ,baixa,NA,baixa,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,baixa,5.5,7.0,baixa,alta,bem drenado,media,NA,NA,1.0,2.0,2,5,9,13,55,17,NA,baixa,nula,baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Sorghum bicolor,Sorgo,graminea,anual,1,3,arbustivo,Africa e parte da Asia,400,800,17,37,Alta,baixa,baixa,baixa,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,alta,5.0,8.0,alta,baixa,boa,arenoso-argiloso,alta,moderada,1.5,2.5,9,12,8,12,55,30,50,media,alta,media,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Fagopyrum esculentum,Trigo Mourisco,outra,anual,0.5,1.2,arbustivo,Norte da Ásia,400,800,18,25,Alta,baixa,baixa,baixa,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,moderada,5.0,6.5,alta,baixa,boa,arenoso-medio,moderada,baixa,0.6,1.2,3,6,12,15,65,15,28,baixa,nula,baixa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Avena sativa,Aveia-branca,graminea,anual,0.6,1.5,cespitoso,Oriente Médio,media,NA,20,25,boa,baixa,alta,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,5.5,7.0,baixa,alta,bem drenado,medio,sim,sim,1.0,1.5,7,15,NA,NA,NA,30,50,alta,media,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Avena strigosa,Aveia preta,graminea,anual,0.7,1.6,cespitoso,Europa ,NA,NA,15,30,moderada,não tolera,alta,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,6.5,baixa,alta,bem drenado,leve-medio,sim,sim,1.0,1.5,5,10,20,NA,65,30,60,alta,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lollium multiflorum,Azevém anual,graminea,anual,0.2,11.2,semi-ereto,Europa ,NA,NA,NA,NA,moderada,baixa,alta,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,moderada,5.5,7.0,baixa,baixa,bem drenado,medio,Na,NA,0.8,1.5,2,6,20,NA,65,20,40,alta,alta,alta,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Brassica napus,Canola,oleaginosa,anual,0.8,1.8,ereto,Asia,NA,NA,18,22,NA,NA,baixa,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.5,7.5,baixa,alta,bem drenado,medio,sim,sim,1.5,3.0,2,3,20,NA,65,20,30,nao_aplicavel,baixa,baixa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Secale cereale,Centeio,graminea,anual,0.8,2.0,semi-ereto,Sudoeste da Ásia,400,800,25,31,alta,baixa,alta,baixa,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,7.0,alta,baixa,bem drenado,leve,sim,NA,1.5,2.5,4,10,7.5,11.5,60,20,30,alta,media,media,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Hordeum vulgare,Cevada,graminea,anual,0.4,1.2,cespitoso,Oriente Médio,NA,NA,20,25,moderada,baixa,Baixa,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,6.0,7.4,baixa,alta,bem drenado,medio,NA,NA,1.0,2.0,3,5,20,NA,65,3,5,media,Baixa,baixa,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Lathyrus sativus,Chícharo,leguminosa,anual,0.3,1.0,semi-ereto,"Asia, África Oriental ",NA,NA,NA,NA,alta,baixa,moderada,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,media,5.0,7.5,media,baixa,bem drenado,leve-medio,NA,NA,0.8,1.5,2,6,20,NA,65,20,40,alta,media,baixa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Pisum sativum subsp. arvense,Ervilha Forrageira,leguminosa,anual,0.3,1.5,trepador,Asia Central e Europa,NA,NA,NA,NA,moderada,baixa,moderada,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.5,7.5,baixa,alta,bem drenado,leve-medio,NA,sim,0.8,1.5,4,6,20,NA,65,35,NA,alta,alta,media,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Vicia sativa,Ervilhaca comum,leguminosa,anual,0.3,0.9,trepador,Mediterrâneo e Asia Ocidental,NA,NA,NA,NA,baixa,baixa,alta,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.5,7.5,baixa,alta,boa,medio,moderada,baixa,0.8,1.2,4,7,20,NA,65,20,30,media,media,media,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Raphanus sativus,Naboforrageiro,oleaginosa,anual,0.4,1.5,ereto,Asia Ocidental e Europa,NA,NA,NA,NA,alta,baixa,alta,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,media,5.0,7.5,moderada,baixa,boa,medio,alta,moderada,1.0,2.0,3,9,12,NA,60,20,65,nao_aplicavel,media,baixa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Lupinus angustifolius,Tremoço azul,leguminosa,anual,0.4,1.2,ereto,Europa/ Asia / África,NA,NA,15,25,moderada,baixa,moderada,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,4.5,6.5,baixa,media,bem drenado,arenoso,moderado,moderado,1.0,1.5,2,7,20,NA,65,30,40,alta,baixa,media,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Lupinus albus,Tremoço branco,leguminosa,anual,0.6,2.0,ereto,Europa/ Asia / África,NA,NA,15,25,moderada,baixa,alta,NA,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,media,5.5,7.5,baixa,media,bem drenado,leve-medio,NA,NA,1.5,2.5,2,3,20,NA,60,20,30,baixa,baixa,media,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Trifolium spp.,Trevos,leguminosa,perene,0.4,1.0,rasteiro,Europa e Asia,NA,NA,NA,NA,Baixa,NA,boa,NA,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.5,7.5,baixa,media,bem drenado,medio,NA,NA,0.6,1.5,2,10,20,NA,65,20,30,alta,alta,baixa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Triticum spp.,Trigo,graminea,anual,0.4,1.2,ereto,Oriente Médio,NA,NA,18,22,moderada,moderada,moderada,NA,0,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.5,7.5,baixa,media,bem drenado,medio,sim,NA,1.0,2.0,4,6,20,NA,60,10,NA,NA,baixa,baixa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,X Triticosecale,Triticale,graminea,anual,0.6,1.6,ereto,NA,NA,NA,10,22,alta,NA,alta,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,media,5.0,7.5,media,media,bem drenado,medio,NA,NA,1.2,2.0,4,7,20,NA,60,9,10,NA,alta,media,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Lolium multiflorum Lam.,Azevém ,graminea,anual,0.2,1.2,cespitoso,Europa,NA,media a alta,20,22,baixa,baixa,baixa,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.5,7.0,baixa,media,bem drenado,medio,NA,NA,0.8,1.5,5,10,25,25,65,30,60,alta,alta,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,X Triticosecale Wittmack,Triticale,graminea,anual,0.8,1.4,cespitoso,NA,500,900,10,20,moderada,baixa,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,media,5.0,7.5,media,media,bem drenado,leve-medio,NA,NA,1.2,2.0,4,8,10,14,65,20,40,media,alta,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Festuca arundinacea Schreb.,Festuca,graminea,perene,0.4,1.5,NA,Europa,NA,NA,25,NA,moderada,alta,alta,baixa,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,baixa,5.5,7.5,baixa,media,bem drenado,medio-argiloso,alta,baixa,1.5,3.0,10,NA,21.3,NA,76,40,50,alta,alta,alta,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Dactylis glomerata L.,Capim dos pomares ou Dátilo,graminea,perene,0.3,1.4,NA,NA,NA,NA,NA,NA,baixa,baixa,alta,NA,0,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baixa,5.5,7.5,baixa,media,bem drenado,medio,moderada,baixa,1.2,2.5,5.2,NA,22,NA,65,5,10,media,NA,media,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Bromus auleticus,Cevadilha,graminea,perene,0.6,0.9,cespitoso,America do Sul,NA,NA,NA,NA,alta,NA,alta,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,baixa,5.5,7.5,baixa,media,bem drenado,medio,NA,NA,1.0,2.0,4.7,NA,18,NA,"67,5",NA,NA,media,media,alta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Falaris,Phalaris aquatica e P. bulbosa,graminea,perene,0.4,1.2,cespitoso,Mediterraneo/ Africa /Europa,NA,NA,NA,NA,alta,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,baixa,5.0,8.0,baixa,media,bem drenado,medio-argiloso,alta,moderada,0.8,1.5,6,8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Sorghum ssp.,Sorgo,graminea,anual,0.5,2,ereto,Africa,380,NA,NA,NA,muito alta,moderada,alta,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alta,5.5,6.5,moderada,baixa,boa,arenoso-argiloso,alta,moderada,1.5,2.5,20,NA,12,NA,65,NA,NA,alta,alta,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
